
gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.0e+01
L-moments,mu=69.03650881,alpha=9.81760300,gamma=0.08345444,n=150

gev-mu=70,alpha=10,gamma=0.1,N=e6.csv;rej_b=0.001;n=2.0e+02
VWLS,mu=69.72377038,alpha=10.51449108,gamma=0.02795088,n=200
MLE,mu=69.43571135,alpha=9.60323436,gamma=0.09614103,n=200
PWM,mu=69.99258060,alpha=10.69584178,gamma=-0.01935261,n=200
L-moments,mu=69.53142063,alpha=9.95204614,gamma=0.06576097,n=200

gev-mu=70,alpha=10,gamma=0.2,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=70.07675755,alpha=12.02831325,gamma=0.27922232,n=10
MLE,mu=70.87666544,alpha=10.25138048,gamma=0.14113704,n=10
PWM,mu=84.39211778,alpha=6.54194778,gamma=-2.50216650,n=10
L-moments,mu=70.46183018,alpha=11.45108861,gamma=0.09828032,n=10

gev-mu=70,alpha=10,gamma=0.2,N=e6.csv;rej_b=0.001;n=1.5e+01
VWLS,mu=69.19092369,alpha=13.98022430,gamma=0.23374425,n=15
MLE,mu=58.34239274,alpha=1.34716390,gamma=6.00720881,n=15
PWM,mu=78.31845715,alpha=18.16809416,gamma=-0.93332285,n=15
L-moments,mu=69.19468965,alpha=12.36900281,gamma=0.17124597,n=15

gev-mu=70,alpha=10,gamma=0.2,N=e6.csv;rej_b=0.001;n=2.0e+01
VWLS,mu=67.86281130,alpha=10.34261049,gamma=0.34807193,n=20
MLE,mu=68.12421450,alpha=8.79332564,gamma=0.31142177,n=20
PWM,mu=73.68144158,alpha=15.56844977,gamma=-0.59218522,n=20
L-moments,mu=67.95713628,alpha=9.21597105,gamma=0.26466975,n=20

gev-mu=70,alpha=10,gamma=0.2,N=e6.csv;rej_b=0.001;n=3.0e+01
VWLS,mu=67.52117385,alpha=8.21387482,gamma=0.35342085,n=30
MLE,mu=67.94681815,alpha=7.97923745,gamma=0.23881055,n=30
PWM,mu=71.15875256,alpha=12.68526215,gamma=-0.38745373,n=30
L-moments,mu=67.76454529,alpha=8.08298165,gamma=0.23322101,n=30

gev-mu=70,alpha=10,gamma=0.2,N=e6.csv;rej_b=0.001;n=5.0e+01
VWLS,mu=68.07798006,alpha=9.62891082,gamma=0.22231678,n=50
MLE,mu=67.93464658,alpha=8.14411838,gamma=0.28847477,n=50
PWM,mu=69.81709458,alpha=11.64373124,gamma=-0.10203223,n=50
L-moments,mu=68.04132029,alpha=8.56289144,gamma=0.22900443,n=50

gev-mu=70,alpha=10,gamma=0.2,N=e6.csv;rej_b=0.001;n=1.0e+02
VWLS,mu=68.96707953,alpha=10.32560940,gamma=0.16895083,n=100
MLE,mu=68.75842200,alpha=9.28103493,gamma=0.22674701,n=100
PWM,mu=69.81830210,alpha=11.34902668,gamma=0.01395593,n=100
L-moments,mu=68.94501284,alpha=9.78185401,gamma=0.16843181,n=100

gev-mu=70,alpha=10,gamma=0.2,N=e6.csv;rej_b=0.001;n=1.5e+02
VWLS,mu=69.31239469,alpha=10.73305536,gamma=0.11891730,n=150
MLE,mu=68.92015690,alpha=9.37289056,gamma=0.21794270,n=150
PWM,mu=69.67018771,alpha=10.86684537,gamma=0.06265593,n=150
L-moments,mu=69.10578595,alpha=9.81224517,gamma=0.16445019,n=150

gev-mu=70,alpha=10,gamma=0.2,N=e6.csv;rej_b=0.001;n=2.0e+02
VWLS,mu=69.79954827,alpha=10.75887567,gamma=0.10540743,n=200
MLE,mu=69.38774579,alpha=9.51674583,gamma=0.20262210,n=200
PWM,mu=70.02738125,alpha=10.78210009,gamma=0.07005334,n=200
L-moments,mu=69.60032014,alpha=9.99078960,gamma=0.14683340,n=200

